127.0.0.1 - - [10/Sep/2021:14:20:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:20:27 +0900] "GET /pnn/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:20:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:20:29 +0900] "GET /pnn/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:20:33 +0900] "OPTIONS /pnn//login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:20:33 +0900] "POST /pnn//login HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:20:34 +0900] "GET /pnn/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:21:59 +0900] "GET /pnn/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:22:03 +0900] "POST /pnn//login HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:22:04 +0900] "GET /pnn/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:22:58 +0900] "GET /pnn/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:23:03 +0900] "POST /pnn//login HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:23:04 +0900] "GET /pnn/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:23:43 +0900] "GET /pnn/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:23:47 +0900] "GET /pnn/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:25:13 +0900] "GET /pnn/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [10/Sep/2021:14:25:37 +0900] "GET /pnn/ HTTP/1.1" 200 437
